Time,Open,High,Low,Last,Change,Volume
11/19/19,8233.57,8234.06,8021.6,8114.51,-118.8,24173
11/18/19,8458.14,8650.12,8074.3,8233.31,-224.83,30929
11/15/19,8657.42,8773.74,8392.05,8458.14,-199.28,29470
11/14/19,8757.28,8794.42,8578.15,8657.42,-99.860000000001,17877
11/13/19,8772.58,8835.44,8717.18,8757.28,-15.299999999999,15225
11/12/19,8740.4,8854.05,8587.34,8772.58,32.18,21386
11/11/19,8867.1,9120.61,8626.11,8740.4,-126.7,25713
11/08/19,9217.47,9252.46,8690.47,8867.1,-350.54,41073
11/07/19,9322.08,9377.44,9105.01,9217.64,-104.44,20469
11/06/19,9361.45,9444.99,9266.29,9322.08,-39.370000000001,21869 
11/05/19,9446.48,9487.44,9201.14,9361.45,-84.84,24789
11/04/19,9217.82,9580.24,9090.34,9446.29,228.53,28682
11/01/19,9207.89,9303.33,9066.12,9217.76,9.7800000000007,28755
10/31/19,9187.52,9424.96,8971.92,9207.98,20.34,30285
10/30/19,9451.35,9473.77,9017.84,9187.64,-263.73,34801
10/29/19,9462.03,9559,9099.09,9451.37,-10.83,44957
10/28/19,8580.2,10289.41,8575.14,9462.2,882,55286
10/25/19,7463.07,8740.09,7409.61,8580.2,1117.13,81190
10/24/19,7495.62,7514.64,7384.38,7463.07,-32.55,32148
10/23/19,8133.85,8133.85,7354.75,7495.62,-639.46,92798
10/22/19,8210.56,8315.97,8096.17,8135.08,-75.48,21558
10/21/19,7953.25,8356.03,7897.08,8210.56,257.17,25219
10/18/19,8053.18,8124.74,7849.62,7953.39,-102.28,27679
10/17/19,7994.74,8135.05,7948.98,8055.67,60.940000000001,22213
10/16/19,8154.07,8184.12,7935.69,7994.73,-158.89,33404
10/15/19,8352.02,8425.94,8152.83,8153.62,-198.43,25541
10/14/19,8344.91,8474.61,8213.83,8352.05,7.2199999999993,17694
10/11/19,8582.18,8802.94,8296.95,8344.83,-237.35,38292
10/10/19,8594.42,8663.29,8462.6,8582.18,-12.24,30680
10/09/19,8146.21,8691.83,8135.53,8594.42,448.21,45707
10/08/19,8222.54,8351.51,8133.16,8146.21,-76.330000000001,21961
10/07/19,8173.69,8319.53,7789.52,8222.54,49.410000000001,40117
10/04/19,8154.74,8293.05,8039.18,8173.13,18.95,27432
10/03/19,8241.82,8411.48,8102.45,8154.18,-86.52,30048
10/02/19,8369.41,8411.76,8213.53,8240.7,-128.71,31316
10/01/19,8238.68,8520.96,8196.66,8369.41,130.73,53080
09/30/19,8064.72,8348.07,7755.36,8238.68,173.96,62010
09/27/19,8095.69,8131.71,7882.91,8064.72,-30.96,51583
09/26/19,8513.89,8654.88,7783.67,8095.68,-418.22,141367
09/25/19,8583.03,8778.43,8250.69,8513.9,-70.040000000001,89980
09/24/19,9788.23,9835.09,8226.7,8583.94,-1201.83,160585
09/23/19,10146.38,10180.13,9782.96,9785.77,-360.34,46330
09/20/19,10254.78,10299.66,10104.19,10146.11,-108.67,28622
09/19/19,10198.27,10344.81,9730.37,10254.78,56.51,72739
09/18/19,10248.39,10275.01,10124.09,10198.27,-50.469999999999,26085
09/17/19,10214.8,10358.37,10150.42,10248.74,33.940000000001,27589
09/16/19,10269.26,10457.65,10118.06,10214.8,-75.130000000001,39176
09/13/19,10340.79,10462.06,10176.57,10289.93,-50.860000000001,30023
09/12/19,10104.96,10382.88,10041.61,10340.79,234.39,30289
09/11/19,10073.76,10231.4,9923.41,10106.4,32.34,23172
09/10/19,10239.82,10397.4,9981.16,10074.06,-165.85,21300
09/09/19,10357.42,10600.25,10095.35,10239.91,-117.5,35719
09/06/19,10549.54,10935.14,10234.48,10357.41,-183.33,57413
09/05/19,10629.79,10696.35,10483.65,10540.74,-89.050000000001,30616
09/04/19,10708.96,10821.87,10401.99,10629.79,-80.949999999999,44892
09/03/19,10382.47,10764.56,10300,10710.74,316.73,73920
09/02/19,9639.97,10428.05,9474.52,10394.01,754.04,69179
08/30/19,9526.28,9713.65,9389.15,9639.97,113.69,17758
08/29/19,9705.66,9792.05,9356.98,9526.28,-179.34,49888
08/28/19,10150.74,10293.37,9632.48,9705.62,-468.06,63160
08/27/19,10278.22,10403.25,10033.25,10173.68,-97.389999999999,25623
08/26/19,10361.76,10615.89,9918.28,10271.07,-105.01,56804
08/23/19,10182.38,10480.14,10059.27,10376.08,193.7,27560
08/22/19,10155.93,10239.12,9771.84,10182.38,26.449999999999,34792
08/21/19,10718.9,10849.71,9889.73,10155.93,-562,52279
08/20/19,10681.84,10954.56,10577.28,10717.93,36.110000000001,31163
08/19/19,10399.27,10838.12,10028.21,10681.82,276.86,33333